# student = Marta Sartor			
# mail = marta.sartor@ilc.cnr.it			
# language = it (Italian)			
# description = data from L1 italian learners sourced from the CItA corpus (Barbagli et al., 2016)			
			
			
# sent_id = assignmentA_1			
# text = La pubblicità è nata dopo la 2ª guerra mondiale, la pubblicità è stata creata soprattutto per sponsorizzare i prodotti che nascevano all’epoca.			
# text_en = Advertising was born after the 2nd World War, advertising was created mainly to sponsor the products that were being born at the time.			
# lang = it			
La	the		
pubblicità	advertising		
è	bear		
nata	_		
dopo	after		
la	the		
2ª	2nd		
guerra	world		
mondiale	war		
,	,		
la	the		
pubblicità	advertising		
è	create		
stata	_		
creata	_		
soprattutto	mainly		
per	to		
sponsorizzare	sponsor		
i	the		
prodotti	products		
che	that		
nascevano	bear		
all’	at the		
epoca	time		
.	.		
			
# sent_id = assignmentA_2			
# text = Prima della pubblicità c’erano dei mini filmini che imparavano la lingua italiana perché in quei periodi non c’era molta cultura e la pubblicità approfittava per insegnare l’italiano.			
# text_en = Before advertising there were some mini little movies which learned the Italian language because at that times there wasn’t much culture and advertising took advantage to teach Italian.			
# lang = it			
Prima	Before		
della	of the		
pubblicità	advertsing		
c’	LOC		
erano	be		
dei	some		
mini	mini		
filmini	little movies		very informal term
che	that		
imparavano	learn		Lexical error: the correct verb would be ‘teach’
la	the		
lingua	language		
italiana	Italian		
perché	because		
in	in		
quei	this		
periodi	period		
non	not		
c’	LOC		
era	is		
molta	much		
cultura	culture		
e	and		
la	the		
pubblicità	advertising		
approfittava	take advantage		the verb lacks the necessary argument describing what the advertising took advantage of; in this case, it would likely be the particle ‘ne’ (of which)
per	to		
insegnare	teach		
l’	the		
italiano	Italian		
.	.		
			
# sent_id = assignmentA_3			
# text = La pubblicità si è evoluta a tal punto che si trasmette nei cinema durante la proiezione dei film, c’era come un “flash” che condizionava la gente che subito dopo andava a comprare il prodotto che era stato “trasmesso”.			
# text_en = Advertising evolved to such an extent that it was broadcast in theaters during the showing of movies, there was like a "flash" that conditioned people who immediately afterwards went to buy the product that had been "broadcast."			
# lang = it			
La	The		
pubblicità	advertising		
si	REFL		
è	evolve		
evoluta	_		
a	to the extent		
tal	_		
punto	_		
che	that		
si	IMPERS		
trasmette	broadcast		
nei	in the		
cinema	movie theatre		
durante	during		
la	the		
proiezione	showing		
dei	of the		
film,	movie		
c’	LOC		
era	be		
come	like		
un	a		
“			
flash	flash		
”			
che	that		
condizionava	condition		
la	the		
gente	people		
che	that		
subito	immediately		
dopo	after		
andava	go		
a	to		
comprare	buy		
il	the		
prodotto	product		
che	that		
era	transmit		
stato	_		
trasmesso	_		
“			
.			
			
# sent_id = assignmentA_4			
# text = La pubblicità si è voluta man mano fino ad arrivare ai nostri giorni durante questo “svolgimento” parallelamente alla storia della pubblicità per opera di Marconi l’invenzione della radio altro sponsor per la pubblicità.			
# text_en = Advertising has gradually volved to reach the present day during this "development" concurrently to the history of advertising through the work of Marconi the invention of the radio another sponsor for advertising.			
# lang = it			
La	the		
pubblicità	advertising		
si	REFL		
è	evolve		
voluta	_		Incorrect form: it’s spelled ‘evoluta’
man	progressively		
mano	_		
fino	up to		
ad	_		
arrivare	arrive		
ai	to the		
nostri	our		
giorni	day		
durante	during		
questo	this		
“			
svolgimento	unfolding		Lexically imprecise
”			
parallelamente	concurrently		
alla	to the		
storia	history		
della	of the		
pubblicità	advertising		
per	by		
opera	work		
di	of the		
Marconi	Marconi		
l’	the		
invenzione	invention		
della	of the		
radio	radio		
altro	other		
sponsor	sponsor		
per	for		
la	the		
pubblicità	advertising		
.			
			
# sent_id = assignmentA_5			
# text = In seguito una rivoluzione che ha compreso tutto il globo è la tv questo è uno strumento che vedono e usano tutti, dove vengono trasmessi programmi televisivi a volte interessanti o sciocchi anche in essa vengono trasmesse pubblicità che secondo me l’influenza sulle persone è poca dato che tanto anche se fosse interessata non si hanno i soldi.			
